country_code,country_name
013,Afghanistan
017,South Africa
023,Albania
025,Germany
027,Andorra
031,Angola
033,Anguilla
037,Antigua And Barbuda
040,Saudi Arabia
041,Algeria
043,Argentina
047,Armenia
048,Aruba
050,Australia
053,Austria
055,Azerbaijan
058,Bahamas
059,Bahrain
063,Bangladesh
064,Barbados
068,Belarus
069,Belgium
072,Belize
073,Benin
074,Bermuda
076,Bolivia
077,Bosnia And Herzegovina
080,Botswana
083,Brazil
085,Brunei
087,Bulgaria
090,Burkina Faso
094,Burundi
098,Bhutan
099,Cabo Verde
102,Cameroon
103,Cambodia
105,Canada
106,Canary Islands
107,Chile
111,China
115,Colombia
116,Comoros
119,Congo
123,North Korea
124,South Korea
127,Costa Rica
131,Croatia
132,Cuba
135,Curacao
139,Denmark
141,Djibouti
145,Dominica
147,Dominican Republic
149,Ecuador
153,Egypt
157,El Salvador
160,United Arab Emirates
163,Eritrea
164,Slovakia
166,Slovenia
169,Spain
170,United States
172,Estonia
175,Ethiopia
179,Fiji
182,Philippines
183,Finland
184,France
187,Gabon
190,Gambia
193,Georgia
196,Ghana
199,Gibraltar
201,Greece
202,Grenada
204,Guadeloupe
207,Guatemala
211,Guinea
213,Guinea-Bissau
215,Equatorial Guinea
218,Guyana
221,Haiti
225,Honduras
227,Hong Kong
229,Hungary
232,Yemen
235,India
238,Indonesia
239,Iran
240,Iraq
243,Ireland
246,Iceland
249,Israel
252,Italy
253,Jamaica
255,Japan
258,Jordan
261,Kazakhstan
264,Kenya
267,Kosovo
268,Kuwait
270,Laos
272,Lesotho
274,Latvia
277,Lebanon
280,Liberia
283,Libya
285,Liechtenstein
287,Lithuania
290,Luxembourg
291,Macao
292,North Macedonia
295,Madagascar
298,Malawi
300,Malaysia
303,Maldives
305,Mali
308,Malta
310,Morocco
313,Martinique
316,Mauritius
319,Mauritania
322,Mexico
325,Mozambique
328,Moldova
331,Monaco
334,Mongolia
337,Montenegro
340,Montserrat
343,Myanmar
346,Namibia
349,Nepal
353,Nicaragua
355,Niger
356,Nigeria
358,Norway
361,New Zealand
364,Oman
366,Netherlands
369,Pakistan
372,Panama
375,Papua New Guinea
378,Paraguay
380,Peru
381,Poland
384,Portugal
386,Puerto Rico
389,Qatar
393,United Kingdom
396,Czech Republic
399,Romania
400,Russia
403,Rwanda
406,Saint Kitts And Nevis
409,Saint Lucia
412,Samoa
414,Saint Vincent And The Grenadines
416,American Samoa
418,San Marino
420,Sao Tome And Principe
422,Senegal
425,Sierra Leone
428,Somalia
431,Sri Lanka
434,Sudan
437,Sweden
438,Switzerland
440,Suriname
443,Swaziland
446,Syria
449,Tajikistan
452,Tanzania
455,Taiwan
458,Thailand
460,Timor-Leste
462,Togo
465,Trinidad And Tobago
467,Tunisia
470,Turkmenistan
472,Turkey
474,Ukraine
477,Uganda
479,Uruguay
481,Uzbekistan
484,Vanuatu
487,Venezuela
489,Vietnam
492,Zambia
495,Zimbabwe
499,Serbia
501,South Sudan
505,Kosovo
513,Western Sahara
517,Sint Maarten
519,Curacao
522,Bonaire
532,Palestine
590,Bermuda
596,Cayman Islands
600,Cook Islands
605,Faroe Islands
608,French Guiana
610,French Polynesia
614,Greenland
616,Guam
619,Marshall Islands
622,Micronesia
625,Northern Mariana Islands
628,New Caledonia
631,Palau
634,Reunion
637,Turks And Caicos Islands
640,Virgin Islands Us
643,Wallis And Futuna
646,Antarctica
708,Central African Republic
711,Chad
714,Democratic Republic Of The Congo
717,Ivory Coast
720,Cyprus
723,Djibouti
726,Eritrea
729,Eswatini
