year,month,ncm,commodity,subtype,description,country_code,country_name,qt_estat,kg_net,mt,bales_480lb,fob_usd
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),023,Albania,52,51000,51.0,234.24,155199
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),023,Albania,11,10500,10.5,48.23,68838
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),063,Bangladesh,12,11600,11.6,53.28,42964
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),069,Belgium,6,5940,5.94,27.28,41580
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),069,Belgium,62,60948,60.948,279.93,311485
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),087,Bulgaria,13,12600,12.6,57.87,101430
1997,1,09012100,coffee,arabica_green,Roasted arabica (not decaff),097,Unknown,1,700,0.7,3.22,3150
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),097,Unknown,14,14976,14.976,68.78,139493
1997,1,09012100,coffee,arabica_green,Roasted arabica (not decaff),097,Unknown,8,6000,6.0,27.56,23424
1997,1,09012200,coffee,arabica_green,Roasted arabica (decaff),097,Unknown,0,100,0.1,0.46,560
1997,1,09019000,coffee,arabica_green,Coffee husks and substitutes,097,Unknown,0,144,0.144,0.66,990
1997,1,09012100,coffee,arabica_green,Roasted arabica (not decaff),097,Unknown,2,1500,1.5,6.89,5856
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),111,China,112,112200,112.2,515.33,816275
1997,1,09012100,coffee,arabica_green,Roasted arabica (not decaff),149,Ecuador,9,9000,9.0,41.34,20000
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),149,Ecuador,25,25200,25.2,115.74,88890
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),149,Ecuador,70,72395,72.395,332.51,284508
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),160,United Arab Emirates,0,240,0.24,1.1,1080
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),161,Unknown,22,22350,22.35,102.65,174288
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),232,Yemen,23,22800,22.8,104.72,145775
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),240,Iraq,16,16848,16.848,77.38,122794
