year,month,ncm,co_unid,commodity,subtype,country_code,country_name,qt_estat,kg_net,fob_usd
2015,1,09011110,21,coffee,arabica_green,023,Germany,1168,1166400,3319530
2015,1,09011110,21,coffee,arabica_green,023,Germany,131946,24056595,88634264
2015,1,09011110,21,coffee,arabica_green,023,Germany,498,498480,1754006
2015,1,09011110,21,coffee,arabica_green,023,Germany,324,324000,1240494
2015,1,09011110,21,coffee,arabica_green,023,Germany,1297,1296000,4574277
2015,1,09011110,21,coffee,arabica_green,023,Germany,216,216000,739313
2015,1,21011110,21,coffee,soluble,023,Germany,0,540,6285
2015,1,09011110,21,coffee,arabica_green,023,Germany,4136,4135560,13774254
2015,1,21011110,21,coffee,soluble,023,Germany,43,43200,266397
2015,1,09011110,21,coffee,arabica_green,023,Germany,330,330660,854325
2015,1,09011110,21,coffee,arabica_green,023,Germany,1571,1572000,3255386
2015,1,21011110,21,coffee,soluble,023,Germany,132,132480,988256
2015,1,09011110,21,coffee,arabica_green,053,Saudi Arabia,38,38400,85248
2015,1,21011110,21,coffee,soluble,053,Saudi Arabia,181,180758,1596451
2015,1,09012100,10,coffee,arabica_green,053,Saudi Arabia,864,864,16730
2015,1,09011110,21,coffee,arabica_green,053,Saudi Arabia,57,57600,144000
2015,1,09011110,21,coffee,arabica_green,053,Saudi Arabia,53,52800,135396
2015,1,09012100,10,coffee,arabica_green,063,Argentina,10320,10320,61868
2015,1,09011110,21,coffee,arabica_green,063,Argentina,238,237826,707264
2015,1,21011110,21,coffee,soluble,063,Argentina,227,228280,1462787
2015,1,09011110,21,coffee,arabica_green,063,Argentina,457,462554,1495592
2015,1,21011110,21,coffee,soluble,063,Argentina,104,104535,706043
2015,1,21011110,21,coffee,soluble,063,Argentina,2,1728,23328
2015,1,21011200,21,coffee,soluble,063,Argentina,72,72320,383358
2015,1,09011110,21,coffee,arabica_green,063,Argentina,628,627760,1605682
2015,1,09011110,21,coffee,arabica_green,063,Argentina,79,79200,293480
2015,1,21012010,10,coffee,soluble,063,Argentina,900,900,1619
2015,1,09011110,21,coffee,arabica_green,069,Australia,19,19200,72828
2015,1,09011110,21,coffee,arabica_green,069,Australia,146,144900,537876
2015,1,09011110,21,coffee,arabica_green,069,Australia,573,576585,2408410
2015,1,21011110,21,coffee,soluble,069,Australia,49,47724,549250
2015,1,21011110,21,coffee,soluble,069,Australia,4,4000,28080
2015,1,09011110,21,coffee,arabica_green,069,Australia,38,38400,147726
2015,1,21011110,21,coffee,soluble,069,Australia,4,3840,52146
2015,1,09011110,21,coffee,arabica_green,072,Austria,110,108000,442803
2015,1,21011110,21,coffee,soluble,080,Bahrain,7,7373,69233
2015,1,09011110,21,coffee,arabica_green,087,Belgium,523,523335,1784137
2015,1,09011110,21,coffee,arabica_green,087,Belgium,19,19200,87897
2015,1,09011110,21,coffee,arabica_green,087,Belgium,173,172800,606958
2015,1,09011110,21,coffee,arabica_green,087,Belgium,88,88800,279111
2015,1,09011110,21,coffee,arabica_green,087,Belgium,1340,1339200,2705470
2015,1,09011110,21,coffee,arabica_green,087,Belgium,1713,1713671,6399932
2015,1,09011110,21,coffee,arabica_green,087,Belgium,9660,9666610,36359749
2015,1,09011110,21,coffee,arabica_green,087,Belgium,152,151200,646525
2015,1,09011110,21,coffee,arabica_green,087,Belgium,108,108000,214037
2015,1,09011110,21,coffee,arabica_green,087,Belgium,1988,1987200,3896131
2015,1,21011110,21,coffee,soluble,093,Myanmar,57,57225,361074
2015,1,21011110,21,coffee,soluble,093,Myanmar,138,137040,931176
2015,1,09012100,10,coffee,arabica_green,097,Bolivia,20,20,94
2015,1,21011200,21,coffee,soluble,097,Bolivia,1,1404,12167
2015,1,09012100,10,coffee,arabica_green,097,Bolivia,3350,3350,17755
2015,1,09012100,10,coffee,arabica_green,097,Bolivia,40,40,183
2015,1,21011190,21,coffee,soluble,097,Bolivia,0,8,57
2015,1,21011190,21,coffee,soluble,097,Bolivia,0,16,122
2015,1,21011110,21,coffee,soluble,097,Bolivia,5,4075,36930
2015,1,09012100,10,coffee,arabica_green,097,Bolivia,55,55,272
2015,1,21011200,21,coffee,soluble,097,Bolivia,0,359,8580
2015,1,21011110,21,coffee,soluble,097,Bolivia,1,1306,26850
2015,1,21011110,21,coffee,soluble,097,Bolivia,0,60,681
2015,1,21011110,21,coffee,soluble,097,Bolivia,13,13445,160087
2015,1,21011110,21,coffee,soluble,097,Bolivia,0,60,775
2015,1,09011110,21,coffee,arabica_green,111,Bulgaria,149,149400,442841
2015,1,21011110,21,coffee,soluble,111,Bulgaria,16,17053,130284
2015,1,09011110,21,coffee,arabica_green,127,Cape Verde,19,19175,50710
2015,1,09011110,21,coffee,arabica_green,127,Cape Verde,19,19200,48000
2015,1,09011110,21,coffee,arabica_green,149,Canada,26,26400,64371
2015,1,21011110,21,coffee,soluble,149,Canada,142,141141,1232438
2015,1,09011110,21,coffee,arabica_green,149,Canada,58,57600,262867
2015,1,09011110,21,coffee,arabica_green,149,Canada,2492,2493705,9183622
2015,1,09011110,21,coffee,arabica_green,149,Canada,76,76800,292731
2015,1,09011110,21,coffee,arabica_green,149,Canada,38,38350,124715
2015,1,21011110,21,coffee,soluble,149,Canada,0,150,6000
2015,1,09011110,21,coffee,arabica_green,149,Canada,383,384000,1360985
2015,1,09012100,10,coffee,arabica_green,149,Canada,100,100,990
2015,1,09011110,21,coffee,arabica_green,151,Canary Islands,19,19200,44160
2015,1,09011110,21,coffee,arabica_green,151,Canary Islands,38,38400,88320
2015,1,09011110,21,coffee,arabica_green,154,Qatar,19,19200,53645
2015,1,21011110,21,coffee,soluble,154,Qatar,20,19973,184114
2015,1,09011110,21,coffee,arabica_green,158,Chile,77,76800,296296
2015,1,09012100,10,coffee,arabica_green,158,Chile,5250,5250,38625
2015,1,09011110,21,coffee,arabica_green,158,Chile,1090,1088700,2274532
2015,1,21011110,21,coffee,soluble,158,Chile,1,1080,13278
2015,1,21011110,21,coffee,soluble,158,Chile,3,2700,20817
2015,1,09011110,21,coffee,arabica_green,160,China,19,19200,67727
2015,1,21011110,21,coffee,soluble,160,China,37,36500,308620
2015,1,09011110,21,coffee,arabica_green,160,China,134,134400,629329
2015,1,09011110,21,coffee,arabica_green,161,Taiwan,0,145,3148
2015,1,09011110,21,coffee,arabica_green,161,Taiwan,107,108000,302807
2015,1,09011110,21,coffee,arabica_green,161,Taiwan,410,410383,1679079
2015,1,09011110,21,coffee,arabica_green,161,Taiwan,0,60,7791
2015,1,21011190,21,coffee,soluble,161,Taiwan,14,14200,79946
2015,1,21011110,21,coffee,soluble,161,Taiwan,6,5880,38808
2015,1,09011110,21,coffee,arabica_green,163,Cyprus,19,19200,48384
2015,1,09011110,21,coffee,arabica_green,163,Cyprus,38,38400,93696
2015,1,21012020,10,coffee,soluble,169,Colombia,1096,1096,7510
2015,1,09011110,21,coffee,arabica_green,190,South Korea,38,38400,146947
2015,1,09011110,21,coffee,arabica_green,190,South Korea,97,97200,387310
2015,1,09011110,21,coffee,arabica_green,190,South Korea,220,219600,709912
2015,1,21011110,21,coffee,soluble,190,South Korea,0,250,6500
2015,1,09011110,21,coffee,arabica_green,190,South Korea,19,19200,68532
2015,1,09011110,21,coffee,arabica_green,190,South Korea,275,274560,550858
2015,1,09011110,21,coffee,arabica_green,190,South Korea,38,38400,147624
2015,1,21011110,21,coffee,soluble,190,South Korea,37,36991,415237
2015,1,21011190,21,coffee,soluble,190,South Korea,5,14200,52920
2015,1,09011110,21,coffee,arabica_green,190,South Korea,71,70500,270988
2015,1,09011110,21,coffee,arabica_green,190,South Korea,2363,805510,2996878
2015,1,09011110,21,coffee,arabica_green,195,Croatia,195,194400,530696
2015,1,21011110,21,coffee,soluble,198,Kuwait,20,20739,199891
2015,1,09011110,21,coffee,arabica_green,232,Denmark,241,241330,828730
2015,1,09011110,21,coffee,arabica_green,232,Denmark,65,64800,206793
2015,1,09011110,21,coffee,arabica_green,232,Denmark,87,86400,315274
2015,1,09011110,21,coffee,arabica_green,232,Denmark,41,40800,112888
2015,1,21011110,21,coffee,soluble,239,Ecuador,16,16800,103758
2015,1,21011110,21,coffee,soluble,240,Egypt,12,11520,115384
2015,1,09011110,21,coffee,arabica_green,240,Egypt,38,38400,91920
2015,1,09011110,21,coffee,arabica_green,240,Egypt,72,72000,177984
2015,1,09011110,21,coffee,arabica_green,240,Egypt,141,141600,295140
2015,1,09011110,21,coffee,arabica_green,240,Egypt,116,115200,276480
2015,1,09011110,21,coffee,arabica_green,240,Egypt,19,19200,49840
2015,1,09011110,21,coffee,arabica_green,244,United Arab Emirates,191,191750,337174
2015,1,09012100,10,coffee,arabica_green,244,United Arab Emirates,346,346,15322
2015,1,21011110,21,coffee,soluble,244,United Arab Emirates,11,10282,125024
2015,1,21011110,21,coffee,soluble,244,United Arab Emirates,72,73423,699359
2015,1,09011110,21,coffee,arabica_green,244,United Arab Emirates,179,180000,430792
2015,1,09011110,21,coffee,arabica_green,244,United Arab Emirates,170,170400,414286
2015,1,21011110,21,coffee,soluble,244,United Arab Emirates,8,7920,113975
2015,1,09011110,21,coffee,arabica_green,244,United Arab Emirates,90,91200,228000
2015,1,09011110,21,coffee,arabica_green,245,Spain,62,62000,203299
2015,1,09011110,21,coffee,arabica_green,245,Spain,40,40800,124804
2015,1,09011110,21,coffee,arabica_green,245,Spain,204,204180,481057
